Position,Artist,Title
1,The Weeknd,Blinding Lights
2,Tones And I,Dance Monkey
3,Apache 207,Roller
4,SAINt JHN,Roses (Imanbek Remix)
5,Topic feat. A7S,Breaking Me
6,Ufo361,Emotions
7,Jawsh 685 & Jason Derulo,Savage Love (Laxed - Siren Beat)
8,DaBaby feat. Roddy Ricch,Rockstar
9,Regard,Ride It
10,Apache 207,Fame
11,Nea,Some Say
12,Pashanim,Airwaves
13,Apache 207,Bläulich
14,Robin Schulz feat. Alida,In Your Eyes
15,Mark Forster,Übermorgen
16,Vize & Tom Gregory,Never Let Me Down
17,Ava Max,Kings & Queens
18,24kGoldn feat. Iann Dior,Mood
19,Dua Lipa,Don't Start Now
20,Apache 207,200 km/h
21,AK Ausserkontrolle x Bonez MC,In meinem Benz
22,Surf Mesa feat. Emilee,ILY (I Love You Baby)
23,Lum!x & Gabry Ponte,Monster
24,Juju x Loredana,Kein Wort
25,KitschKrieg feat. Jamule,Unterwegs
26,Joel Corry feat. MNEK,Head & Heart
27,Capital Bra x Samra & Lea,110
28,Twocolors,Lovefool
29,Robin Schulz & Wes,Alane
30,Joker Bra & Vize,Baby
31,Apache 207,Boot
32,Felix Jaehn & Vize feat. Miss Li,Close Your Eyes
33,Ava Max,Salt
34,Internet Money & Gunna feat. Don Toliver & Nav,Lemonade
35,Roddy Ricch,The Box
36,Lewis Capaldi,Someone You Loved
37,Drake,Toosie Slide
38,Bausa x Joshi Mizu x Maxwell,Skifahren
39,Bonez MC,Roadrunner
40,Billie Eilish,Bad Guy
41,Trevor Daniel,Falling
42,Kayef,Ich würd' lügen
43,Harry Styles,Watermelon Sugar
44,LA Vision & Gigi D'Agostino,Hollywood
45,Ofenbach & Quarterhead feat. Norma Jean Martine,Head Shoulders Knees & Toes
46,Sido feat. Apache 207,2002
47,RIN,Alien
48,Dua Lipa,Physical
49,Master KG feat. Burna Boy & Nomcebo Zikode,Jerusalema (Remix)
50,Fourty,Weisser Rauch
51,Vize x Joker Bra x Leony,Paradise
52,Nimo & Hava,Kein Schlaf
53,Apache 207,Wieso tust Du dir das an?
54,Juju feat. Henning May,Vermissen
55,Benee feat. Gus Dapperton,Supalonely
56,Mark Forster,194 Länder
57,Capital Bra x Loredana,Nicht verdient
58,Billie Eilish,Everything I Wanted
59,Lea & Capital Bra,7 Stunden
60,Capital Bra x Clueso x KC Rebell,Andere Welt
61,Bonez MC,Big Body Benz
62,Miksu / Macloud / Summer Cem / Luciano / Jamule,XXL
63,LEA,Treppenhaus
64,Capital Bra x Cro,Frühstück in Paris
65,Jason Derulo,Take You Dancing
66,Zoe Wees,Control
67,Samra,Colt
68,Powfu feat. Beabadoobee,Death Bed
69,Maroon 5,Memories
70,Bausa x Juju,2012
71,Apache 207,Unterwegs
72,Riton x Oliver Heldens feat. Vula,Turn Me On
73,RIN & Bausa,Keine Liebe
74,Tyga,Ayy Macarena
75,Bonez MC,Angeklagt
76,Black Eyed Peas x J Balvin,Ritmo (Bad Boys For Life)
77,Samra x Elif,Zu Ende
78,Purple Disco Machine & Sophie And The Giants,Hypnotized
79,Future feat. Drake,Life Is Good
80,KC Rebell x Summer Cem,Fly
81,Kool Savas x Alies,AMG
82,Meduza x Becky Hill x Goodboys,Lose Control
83,Dardan & Monet192,H <3 T E L
84,Céline [DE],Tränen aus Kajal
85,Samra,Weiss
86,Sam Feldt feat. Rani,Post Malone
87,Black Eyed Peas / Ozuna + J. Rey Soul,Mamacita
88,Lewis Capaldi,Before You Go
89,Arizona Zervas,Roxanne
90,Jerome [DE],Light
91,Nico Santos & Topic,Like I Love You
92,Apache 207,Matrix
93,Tujamo - Vize - Majan,Lonely
94,Kontra K feat. Samra,Tiefschwarz
95,Bonez MC,Fuckst mich nur ab
96,Cardi B feat. Megan Thee Stallion,WAP
97,Post Malone,Circles
98,Apache 207,Doch in der Nacht
99,Lady Gaga & Ariana Grande,Rain On Me
100,Miley Cyrus,Midnight Sky
