Position,Artist,Title,MBID
1,The Weeknd,Blinding Lights,5bdbfe86-4ad5-4c19-8d29-ee5f30ba628b
2,Tones And I,Dance Monkey,fceef8ab-f844-45e8-822a-12d0ed536a4c
3,Apache 207,Roller,0dadaff9-765e-4b51-965d-df8f812706b9
4,SAINt JHN,Roses (Imanbek Remix),a2c018a7-8ae6-43d5-81d8-35c611b01e18
5,Topic feat. A7S,Breaking Me,41864c5c-b43d-40cf-8cfb-9cdb90b8d567
6,Ufo361,Emotions,3344e8b4-95d1-46ad-bf0e-df3dca0c8f29
7,Jawsh 685 & Jason Derulo,Savage Love (Laxed - Siren Beat),bbf6eed2-444f-4cf6-8ee5-14f5de4e4d8e
8,DaBaby feat. Roddy Ricch,Rockstar,50a4f12b-8b19-4387-85e6-4ec98e1f2f69
9,Regard,Ride It,a8f36c83-ec72-4f50-b8ae-da1151746d24
10,Apache 207,Fame,e8695e89-df6c-474d-b136-7b2ffaa18167
11,Nea,Some Say,7f0470d5-b27d-47ef-8fac-ed01c478294b
12,Pashanim,Airwaves,71c70bb9-8cd3-4bfc-837e-a1d358431ccb
13,Apache 207,Bläulich,c079155b-1e05-43a1-a7c7-a851f9c99d4b
14,Robin Schulz feat. Alida,In Your Eyes,7848a6b8-a155-41c5-b6ea-da21ef77c475
15,Mark Forster,Übermorgen,ed5f3fb7-51e0-4080-a564-6d939687b0d1
16,Vize & Tom Gregory,Never Let Me Down,38414672-110d-4583-a46e-adc83ad66ad0
17,Ava Max,Kings & Queens,e52d9d54-2f94-47d1-994c-69a25287e10c
18,24kGoldn feat. Iann Dior,Mood,2e620e8a-08fa-4ac3-b70e-5cb5fe0fa9f9
19,Dua Lipa,Don't Start Now,bd53c333-f1bd-465b-81ae-3c1f2ff28fa3
20,Apache 207,200 km/h,e9e6a80e-9362-4e73-9818-4d750b7ad75f
21,AK Ausserkontrolle x Bonez MC,In meinem Benz,
22,Surf Mesa feat. Emilee,ILY (I Love You Baby),e154f376-1c11-4453-8593-e088599427f3
23,Lum!x & Gabry Ponte,Monster,1d42f997-1e0f-439c-9d44-e3f42dfae65f
24,Juju x Loredana,Kein Wort,
25,KitschKrieg feat. Jamule,Unterwegs,80a3c36e-6a6e-4064-acd7-7de90926bd0f
26,Joel Corry feat. MNEK,Head & Heart,877373c1-9f4a-4efb-91fd-dd217d0300eb
27,Capital Bra x Samra & Lea,110,
28,Twocolors,Lovefool,7bb96b0c-b56b-461a-9a15-a12d1112776c
29,Robin Schulz & Wes,Alane,0d7f204d-5241-4e46-8570-eddecd23e537
30,Joker Bra & Vize,Baby,3af1a53b-68bd-452a-a5a3-3e4283699cb4
31,Apache 207,Boot,6b799336-0665-4d93-bb4d-c2a612192aab
32,Felix Jaehn & Vize feat. Miss Li,Close Your Eyes,e6e100b0-771e-4844-8757-c679a093b496
33,Ava Max,Salt,ce0c4eb4-b964-4aa7-af1a-74d46dd2509e
34,Internet Money & Gunna feat. Don Toliver & Nav,Lemonade,
35,Roddy Ricch,The Box,39a5b23d-a961-4cc1-8b63-ba1f52c3402d
36,Lewis Capaldi,Someone You Loved,5a0f5be9-fb55-4798-8564-cf4598def9ed
37,Drake,Toosie Slide,a877e70c-01a5-4f9b-9f03-302536d959ad
38,Bausa x Joshi Mizu x Maxwell,Skifahren,
